Purchase Intention,id,text
undefined,102,Oppo has a clever idea for eliminating the notch without removing functionality  http:// bit.ly/2BH5klO    #apple  #iphone -x #mobile
undefined,103,Just saw this on eBay : Apple  iphone 13  a1901 256GB Smartphone GSM Unlocked  http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?ff3=2&toolid=10039&campid=5338330040&item=152924515886&vectorid=229466&lgeo=1   … pic.twitter.com/9uUd2x46O4
undefined,105,@ AppleSupport  my  iphone 13  keeps staying on a black screen for a few minutes...then all of a sudden will work again. Any advice?
undefined,106,The best  iphone 13  cases – CNET  https://www. worldnewsfacts.com/the-best-iphon e-x-cases-cnet/   … pic.twitter.com/tf8aiRvkvI
undefined,107,"Apple  iphone 13 , Fully Unlocked 5.8"", 256 GB - Space Gray -  http:// sounds.890m.com/apple-iphone-x -fully-unlocked-5-8-256-gb-space-gray/   … pic.twitter.com/4hymQD9x63"
no,108,The camera on an  iphone 13  is fucking horrific
yes,109,I'm so buzzing that I finally get an  iphone 13  tomorrow 
yes,110,Buy  iphone 13  for me
undefined,111,The best  iphone 13  cases## CNET   https:// goo.gl/bqXDvY    @DavidCarnoy pic.twitter.com/6PFUKEfv9u
yes,112,I liked a @YouTube  video  http:// youtu.be/cMIz1LCq5Fk?a     iphone 13  Cinematic - Toronto Canada 4K
undefined,113,I have no data to back this up but I think the  iphone 13  is the slipperiest phone in existence. every time i look away for one second and it's slipped onto the ground. it's like a little flat slippery eel.
no,115,"Got my Pixel 3 finally. So here is the verdict: 1) It's just much smarter than my  iphone 13  (I think this one is so important, yet overlooked)  2) The camera is ridiculous 3) It's not as smooth as an iPhone and the Apple eco-system is awesome 4) It's just enjoyable to use!"
undefined,116,"# window  #squirrel  #cardinal  #birds  #mushroom  #northernliberties  #phl  #philly  #phillystreets  #iphone 13  #iphoneography  #lightroom @Northern Liberties, Philadelphia  https://www. instagram.com/p/Bqx_6C0nIAw/ ?utm_source=ig_twitter_share&igshid=e9wplh737ia8   …"
no,117,"Seriously considering trading in my  iphone 13  for a flip phone, this face recognition crap is creeping me out! #bigbrother  #iphone 13R"
no,118,"Apple no longer sells the  iphone 13 , but that doesn't mean you shouldn't protect yours if you have one.
 https:// cnet.co/2DS00h2  "
undefined,119,Here's your chance to Win  iphone 13  offered at FaceOff Gifts's Annual iPhone Giveaway @republic_lab  - http:// bit.ly/iphone-giveawa y-live   …
no,120,I liked a @YouTube  video  http:// youtu.be/sQldXpPM-SE?a    SMASHING THE  iphone 13  IN PUBLIC PRANK 4!
undefined,121,iphone 13  camera made me forget I look bummy    pic.twitter.com/XH1rPr2c6A
undefined,124,Just got the  iphone 13  Max and it’s way too big for my hands 
undefined,125,Walking around with a naked  iphone 13  
yes,126,omg we live for  iphone 13  quality hshshsh  pic.twitter.com/4LIPDpjBuf
undefined,127,iphone 13   pic.twitter.com/Tadt39ZkGT
yes,128,The screen on the  iphone 13  is amazing! Thank goodness I went with the OG  iphone 13  instead of the iphone 13R like I originally planned. That blue color was tempting though. Lol
no,129,i have an  iphone 13  u silly bitch
undefined,130,Check out what I found. Ultra Slim Frosted Case Shockproof Hardshell Cover Case for  iphone 13  - Black  https:// ebay.us/4609XX    via @eBay_UK
undefined,132,I feel like everyone has an  iphone 13  or Xs now lol
undefined,134,"Tesla,  iphone 13 , Apple Watch and suede shoes"
yes,135,"The biggest struggle with having an  iphone 13  is how easy it is to screenshot things, I’ve only had it for about a month and I’ve screenshotted too many people’s Snapchat and Instagram stories on accident. "
undefined,136,"Greetings everyone! Time for #YOUROC60min ! Now, imagine your OC, but they dropped their  iphone 13  ..."
undefined,137,I can’t even do it cause I have an  iphone 13  
no,138,"@ AppleSupport  #iphone 13  With calls on my phone I can't hear them the other end unless it's on speaker. Every time I take this issue to apple n they just throw a new  iphone 13 . Right now, I am with 3rd replacement phone. What if the warranty ends ? #Sham"
no,139,BIG MONEY I want an  iphone 13    but money is money so hmmmm
undefined,140,iphone 13  Forsale BrandNew With AnyBody   pic.twitter.com/pfHmiDQOVV
no,141,Just got the  iphone 13  compliments of Verizon’s BF. Sending texts with my personal emoji to ANYONE I know. This won’t end well.
