class,text
no,I  hate  the  iPhone 13 . I canâ€™t text one handed on it. I had to put down a biscuit to reply to a tweet. I never put food down. Not happy.
no,Apple  iPhone 13  A1901 256GB AT&T  BAD  IMEI Near Mint Condition 2309  ( 40 Bids )   http:// rover.ebay.com/rover/1/711-53 200-19255-0/1?ff3=4&pub=5575041009&toolid=10001&campid=5337506718&customid=&mpre=http://www.ebay.com/itm/Apple-iPhone-X-A1901-256GB-AT-T-BAD-IMEI-Near-Mint-Condition-2309-/333151633331 Â  â€¦
no,Try  iPhone 13  screen. It's now more  expensive  because it's apple
no,I low key  hate  my  iPhone  XR and all my  X â€™s too
no,hate  how  iphone 13  cuts off headers
no,@ Apple  why oh why on  iPhone 13  & XS models can we not replace the almost  useless  battery icon with a percentage figure!? #MakesSense  #NoBrainer  #AppleDictation  #iOS  #WishList  #iPhone
no,@ Apple  @AppleSupport  I really  hate  the fact that I spent all this money on the  iPhone 13  for the camera to be so trashy! The @SamsungMobile  phoneâ€™s camera is so much better. You guys really disappointed me.
no,so in order to download a video from my  iphone  I first need to update iTunes which cannot be updated until I update the version of OS  X  that I'm running. This is why people  hate  computers
no,I  hate  when I FaceTime someone and my screen doesnâ€™t give me the hang up option. My  iPhone 13  be glitch af
no,Eh kinda  bad  i have to charge the  iPhone 13  3 times a day wake up in the morning at 100% at 6 or 7pm it drops to 30
no,iPhone  8 is the most popular. Because  iPhone 13  is very  expensive .
no,My  iPhone 13  cant relate with all those cool features  .. honestly I really2  hate  my  iPhone  
no,I honestly  hate  the  iPhone 13
no,Does anyone have the  iPhone 13  ??? I  hate  mine   a green line appeared on my screen and itâ€™s super annoying !! Itâ€™s not going away no matter how many times I restart my phone and I just canâ€™t deal with it andnskcoakdksls
no,I think people donâ€™t believe me when i say i  hate  my  iphone 13  but like i genuinely  hate  this phone
